Artikelnummer;Pos.;Start-Datum;Ende-Datum;Preisstaffel;Staffelwert;Preis;Rabatt (%);Rabattierter Preis
[GH82-18849B] Ersatzteil geeignet für Samsung G975F Galaxy S10 Plus White (Service Pack);18;28.02.2020;;Staffel von;0;172,9;;172,9
[BCCU-IP8GS] Ersatzteil geeignet für iPhone 8G - OEM Backcover, silver, unbestückt;16;19.02.2020;;Staffel von;0;59,99;;59,99
[IPXF] Ersatzteil geeignet für iPhone X - LCD, Originalqualität;63;19.02.2020;;Staffel von;0;129,99;;129,99
[A-IP8] Ersatzteil geeignet für iPhone 8G - Akku;21;13.02.2020;;Staffel von;0;9,5;;9,5
[A-IP7P] Ersatzteil geeignet für iPhone 7G Plus - Akku;52;13.02.2020;;Staffel von;0;9;;9
[A-IP7G] Ersatzteil geeignet für iPhone 7G - Akku;69;13.02.2020;;Staffel von;0;8,5;;8,5
[GH82-19204A] Ersatzteil geeignet für Samsung SM-A505 Galaxy A50 - LCD, black, Service Pack;14;11.02.2020;;Staffel von;0;43,9;;43,9
[GH82-19672A] Ersatzteil geeignet für Samsung SM-A405f Galaxy A40, black, Service Pack;12;11.02.2020;;Staffel von;0;46,9;;46,9
[GH82-18849A] Ersatzteil geeignet für Samsung G975F Galaxy S10 Plus Black (Service Pack);16;11.02.2020;;Staffel von;0;159,9;;159,9
[GH82-18850B] Ersatzteil geeignet für Samsung G973F Galaxy S10 White (Service Pack);11;11.02.2020;;Staffel von;0;149,9;;149,9
[GH82-18850A] Ersatzteil geeignet für Samsung G973F Galaxy S10 Black (Service Pack);13;11.02.2020;;Staffel von;0;149,9;;149,9
[GH97-21696B] Ersatzteil geeignet für Samsung G960F Galaxy S9 Violett (Service Pack);21;11.02.2020;;Staffel von;0;138,11;;138,11
[GH97-21696A] Ersatzteil geeignet für Samsung G960F Galaxy S9 Black (Service Pack);34;11.02.2020;;Staffel von;0;138,11;;138,11
[GH97-20457C] Ersatzteil geeignet für Samsung G950 Galaxy S8 Violet (Service Pack);56;11.02.2020;;Staffel von;0;124,9;;124,9
[GH97-20457A] Ersatzteil geeignet für Samsung G950 Galaxy S8 Black (Service Pack);87;11.02.2020;;Staffel von;0;124,9;;124,9
[BCCB-IP8GS] Ersatzteil geeignet für iPhone 8G - OEM Backcover, silver, bestückt;23;11.02.2020;;Staffel von;0;76,9;;76,9
[IP8PFW] Ersatzteil geeignet für iPhone 8G Plus - LCD, Originalqualität, white;81;11.02.2020;;Staffel von;0;48,99;;48,99
