"id";"articleID";"ordernumber";"suppliernumber";"kind";"additionaltext";"sales";"active";"instock";"stockmin";"laststock";"weight";"position";"width";"height";"length";"ean";"unitID";"purchasesteps";"maxpurchase";"minpurchase";"purchaseunit";"referenceunit";"packunit";"releasedate";"shippingfree";"shippingtime";"purchaseprice"
"1";"1";"GH82-14985A";NULL;"1";NULL;"0";"1";"2";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
"2";"2";"GH82-13638D";NULL;"1";NULL;"0";"1";"0";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
"3";"3";"LB-IP5GW";NULL;"1";NULL;"0";"1";"0";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
"4";"4";"GH82-11346E";NULL;"1";NULL;"0";"1";"0";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
"5";"5";"GH82-11020B";NULL;"1";NULL;"0";"1";"0";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
"6";"6";"GH82-13962B";NULL;"1";NULL;"0";"1";"0";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
"7";"7";"A-IP5C";NULL;"1";NULL;"0";"1";"0";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
"8";"8";"02351RWF";NULL;"1";NULL;"0";"1";"0";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
"9";"9";"02351QXU";NULL;"1";NULL;"0";"1";"0";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
"10";"10";"02351DMR/02351VBT";NULL;"1";NULL;"0";"1";"0";"0";"0";"0.000";"0";"0.000";"0.000";"0.000";;"9";NULL;NULL;"1";NULL;NULL;NULL;NULL;"0";"0";"0"
